suffer from altitude sickness,an Höhenkrankheit leiden
take off,starten
land,landen
get away,wegkommen
drive home,nach Hause fahren
fly back,zurückfliegen
hire a car,einen Wagen mieten
take a trip,einen Ausflug machen
be with each other,zusammen sein
sleep in tents,in Zelten schlafen
it takes an hour,es dauert eine Stunde
get out of the car,aussteigen
meet other people,andere Leute treffen
get close to alligators,nahe an Alligatoren herankommen
get into a car,einsteigen
set off for work,sich auf den Weg machen
get to the airport,zum Flughafen kommen
talk to each other,miteinander sprechen

